Hybrid,Parent1,Parent2,train,test,vcf
M0186/LH198,M0186,LH198,TRUE,FALSE,TRUE
M0262/CG102,M0262,CG102,TRUE,FALSE,TRUE
M0262/LH185,M0262,LH185,TRUE,FALSE,TRUE
M0262/LH195,M0262,LH195,TRUE,FALSE,TRUE
M0262/LH198,M0262,LH198,TRUE,FALSE,TRUE
M0262/LH82,M0262,LH82,TRUE,FALSE,TRUE
M0262/PB80,M0262,PB80,TRUE,FALSE,TRUE
M0262/PHZ51,M0262,PHZ51,TRUE,FALSE,TRUE
M0264/CG102,M0264,CG102,TRUE,FALSE,TRUE
M0264/PB80,M0264,PB80,TRUE,FALSE,TRUE
M0266/CG102,M0266,CG102,TRUE,FALSE,TRUE
M0266/LH185,M0266,LH185,TRUE,FALSE,TRUE
M0266/LH198,M0266,LH198,TRUE,FALSE,TRUE
M0266/LH82,M0266,LH82,TRUE,FALSE,TRUE
M0266/PB80,M0266,PB80,TRUE,FALSE,TRUE
M0266/PHZ51,M0266,PHZ51,TRUE,FALSE,TRUE
M0269/CG102,M0269,CG102,TRUE,FALSE,TRUE
M0269/LH185,M0269,LH185,TRUE,FALSE,TRUE
M0269/LH198,M0269,LH198,TRUE,FALSE,TRUE
M0272/LH185,M0272,LH185,TRUE,FALSE,TRUE
M0272/LH198,M0272,LH198,TRUE,FALSE,TRUE
M0275/PB80,M0275,PB80,TRUE,FALSE,TRUE
M0276/CG102,M0276,CG102,TRUE,FALSE,TRUE
M0276/LH195,M0276,LH195,TRUE,FALSE,TRUE
M0276/LH198,M0276,LH198,TRUE,FALSE,TRUE
M0276/PB80,M0276,PB80,TRUE,FALSE,TRUE
M0287/CG102,M0287,CG102,TRUE,FALSE,TRUE
M0287/LH185,M0287,LH185,TRUE,FALSE,TRUE
M0287/LH198,M0287,LH198,TRUE,FALSE,TRUE
M0296/LH185,M0296,LH185,TRUE,FALSE,TRUE
M0296/LH198,M0296,LH198,TRUE,FALSE,TRUE
M0297/CG102,M0297,CG102,TRUE,FALSE,TRUE
M0297/LH185,M0297,LH185,TRUE,FALSE,TRUE
M0297/LH198,M0297,LH198,TRUE,FALSE,TRUE
M0309/CG102,M0309,CG102,TRUE,FALSE,TRUE
M0309/LH198,M0309,LH198,TRUE,FALSE,TRUE
M0310/PB80,M0310,PB80,TRUE,FALSE,TRUE
M0311/CG102,M0311,CG102,TRUE,FALSE,TRUE
M0311/LH185,M0311,LH185,TRUE,FALSE,TRUE
M0311/LH198,M0311,LH198,TRUE,FALSE,TRUE
M0315/PB80,M0315,PB80,TRUE,FALSE,TRUE
M0317/CG102,M0317,CG102,TRUE,FALSE,TRUE
M0317/LH185,M0317,LH185,TRUE,FALSE,TRUE
M0317/LH195,M0317,LH195,TRUE,FALSE,TRUE
M0317/LH198,M0317,LH198,TRUE,FALSE,TRUE
M0321/LH195,M0321,LH195,TRUE,FALSE,TRUE
M0323/CG102,M0323,CG102,TRUE,FALSE,TRUE
M0323/LH185,M0323,LH185,TRUE,FALSE,TRUE
M0323/LH198,M0323,LH198,TRUE,FALSE,TRUE
M0323/PB80,M0323,PB80,TRUE,FALSE,TRUE
M0325/CG102,M0325,CG102,TRUE,FALSE,TRUE
M0325/LH185,M0325,LH185,TRUE,FALSE,TRUE
M0325/LH195,M0325,LH195,TRUE,FALSE,TRUE
M0325/LH198,M0325,LH198,TRUE,FALSE,TRUE
M0325/PB80,M0325,PB80,TRUE,FALSE,TRUE
M0326/CG102,M0326,CG102,TRUE,FALSE,TRUE
M0326/LH185,M0326,LH185,TRUE,FALSE,TRUE
M0326/LH195,M0326,LH195,TRUE,FALSE,TRUE
M0326/LH198,M0326,LH198,TRUE,FALSE,TRUE
M0326/PB80,M0326,PB80,TRUE,FALSE,TRUE
M0328/PB80,M0328,PB80,TRUE,FALSE,TRUE
M0341/CG102,M0341,CG102,TRUE,FALSE,TRUE
M0341/LH185,M0341,LH185,TRUE,FALSE,TRUE
M0345/LH185,M0345,LH185,TRUE,FALSE,TRUE
M0346/CG102,M0346,CG102,TRUE,FALSE,TRUE
M0346/LH185,M0346,LH185,TRUE,FALSE,TRUE
M0346/LH198,M0346,LH198,TRUE,FALSE,TRUE
M0352/CG102,M0352,CG102,TRUE,FALSE,TRUE
M0352/LH185,M0352,LH185,TRUE,FALSE,TRUE
M0354/CG102,M0354,CG102,TRUE,FALSE,TRUE
M0354/LH185,M0354,LH185,TRUE,FALSE,TRUE
M0354/LH198,M0354,LH198,TRUE,FALSE,TRUE
M0355/CG102,M0355,CG102,TRUE,FALSE,TRUE
M0355/LH185,M0355,LH185,TRUE,FALSE,TRUE
M0357/LH185,M0357,LH185,TRUE,FALSE,TRUE
M0357/PB80,M0357,PB80,TRUE,FALSE,TRUE
M0360/CG102,M0360,CG102,TRUE,FALSE,TRUE
M0365/LH198,M0365,LH198,TRUE,FALSE,TRUE
M0368/PB80,M0368,PB80,TRUE,FALSE,TRUE
M0369/LH185,M0369,LH185,TRUE,FALSE,TRUE
M0369/LH198,M0369,LH198,TRUE,FALSE,TRUE
M0369/PB80,M0369,PB80,TRUE,FALSE,TRUE
M0378/CG102,M0378,CG102,TRUE,FALSE,TRUE
M0378/LH185,M0378,LH185,TRUE,FALSE,TRUE
M0382/LH195,M0382,LH195,TRUE,FALSE,TRUE
M0382/PB80,M0382,PB80,TRUE,FALSE,TRUE
M0383/LH195,M0383,LH195,TRUE,FALSE,TRUE
M162W/LH195,M162W,LH195,TRUE,FALSE,TRUE
M162W/LH244,M162W,LH244,FALSE,TRUE,TRUE
M162W/PHB47,M162W,PHB47,TRUE,FALSE,TRUE
M162W/PHZ51,M162W,PHZ51,TRUE,FALSE,TRUE
M37W/LH244,M37W,LH244,FALSE,TRUE,TRUE
MBNIL_B004/DK3IIH6,MBNIL_B004,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B004/LH185,MBNIL_B004,LH185,TRUE,FALSE,TRUE
MBNIL_B004/PHZ51,MBNIL_B004,PHZ51,TRUE,FALSE,TRUE
MBNIL_B015/DK3IIH6,MBNIL_B015,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B015/LH185,MBNIL_B015,LH185,TRUE,FALSE,TRUE
MBNIL_B015/PHZ51,MBNIL_B015,PHZ51,TRUE,FALSE,TRUE
MBNIL_B040/DK3IIH6,MBNIL_B040,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B040/PHZ51,MBNIL_B040,PHZ51,TRUE,FALSE,TRUE
MBNIL_B043/DK3IIH6,MBNIL_B043,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B043/PHZ51,MBNIL_B043,PHZ51,TRUE,FALSE,TRUE
MBNIL_B044/DK3IIH6,MBNIL_B044,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B044/PHZ51,MBNIL_B044,PHZ51,TRUE,FALSE,TRUE
MBNIL_B049/PHZ51,MBNIL_B049,PHZ51,TRUE,FALSE,TRUE
MBNIL_B055/DK3IIH6,MBNIL_B055,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B055/LH185,MBNIL_B055,LH185,TRUE,FALSE,TRUE
MBNIL_B055/PHZ51,MBNIL_B055,PHZ51,TRUE,FALSE,TRUE
MBNIL_B057/DK3IIH6,MBNIL_B057,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B057/LH185,MBNIL_B057,LH185,TRUE,FALSE,TRUE
MBNIL_B057/PHZ51,MBNIL_B057,PHZ51,TRUE,FALSE,TRUE
MBNIL_B065/DK3IIH6,MBNIL_B065,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B065/PHZ51,MBNIL_B065,PHZ51,TRUE,FALSE,TRUE
MBNIL_B078/DK3IIH6,MBNIL_B078,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B078/PHZ51,MBNIL_B078,PHZ51,TRUE,FALSE,TRUE
MBNIL_B102/DK3IIH6,MBNIL_B102,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B102/LH185,MBNIL_B102,LH185,TRUE,FALSE,TRUE
MBNIL_B102/PHZ51,MBNIL_B102,PHZ51,TRUE,FALSE,TRUE
MBNIL_B107/DK3IIH6,MBNIL_B107,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B107/PHZ51,MBNIL_B107,PHZ51,TRUE,FALSE,TRUE
MBNIL_B111/DK3IIH6,MBNIL_B111,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B111/PHZ51,MBNIL_B111,PHZ51,TRUE,FALSE,TRUE
MBNIL_B122/DK3IIH6,MBNIL_B122,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B122/PHZ51,MBNIL_B122,PHZ51,TRUE,FALSE,TRUE
MBNIL_B123/DK3IIH6,MBNIL_B123,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B123/PHZ51,MBNIL_B123,PHZ51,TRUE,FALSE,TRUE
MBNIL_B125/DK3IIH6,MBNIL_B125,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B125/PHZ51,MBNIL_B125,PHZ51,TRUE,FALSE,TRUE
MBNIL_B131/DK3IIH6,MBNIL_B131,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B131/LH185,MBNIL_B131,LH185,TRUE,FALSE,TRUE
MBNIL_B131/PHZ51,MBNIL_B131,PHZ51,TRUE,FALSE,TRUE
MBNIL_B136/DK3IIH6,MBNIL_B136,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B136/PHZ51,MBNIL_B136,PHZ51,TRUE,FALSE,TRUE
MBNIL_B144/DK3IIH6,MBNIL_B144,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B144/LH185,MBNIL_B144,LH185,TRUE,FALSE,TRUE
MBNIL_B144/PHZ51,MBNIL_B144,PHZ51,TRUE,FALSE,TRUE
MBNIL_B154/DK3IIH6,MBNIL_B154,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B154/LH185,MBNIL_B154,LH185,TRUE,FALSE,TRUE
MBNIL_B154/PHZ51,MBNIL_B154,PHZ51,TRUE,FALSE,TRUE
MBNIL_B169/PHZ51,MBNIL_B169,PHZ51,TRUE,FALSE,TRUE
MBNIL_B175/DK3IIH6,MBNIL_B175,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B175/LH185,MBNIL_B175,LH185,TRUE,FALSE,TRUE
MBNIL_B175/PHZ51,MBNIL_B175,PHZ51,TRUE,FALSE,TRUE
MBNIL_B189/DK3IIH6,MBNIL_B189,DK3IIH6,TRUE,FALSE,TRUE
MBNIL_B189/LH185,MBNIL_B189,LH185,TRUE,FALSE,TRUE
MBNIL_B189/PHZ51,MBNIL_B189,PHZ51,TRUE,FALSE,TRUE
MBS2747_MBS9508,MBS2747_MBS9508,NA,TRUE,FALSE,FALSE
MBS3755GTCBLL_MBS8488DC RIB,MBS3755GTCBLL_MBS8488DC RIB,NA,TRUE,FALSE,FALSE
MBS3785/MBS5618,MBS3785,MBS5618,TRUE,FALSE,FALSE
MBS5787HXT,MBS5787HXT,NA,TRUE,FALSE,FALSE
MBUB/LH244,MBUB,LH244,FALSE,TRUE,TRUE
MC4354VT2PRIB,MC4354VT2PRIB,NA,TRUE,FALSE,FALSE
MM501D/LH244,MM501D,LH244,FALSE,TRUE,TRUE
MO17/DK3IIH6,MO17,DK3IIH6,TRUE,FALSE,TRUE
MO17/LH82,MO17,LH82,TRUE,FALSE,TRUE
MO17/PHZ51,MO17,PHZ51,TRUE,FALSE,TRUE
MO17_PHW30-008-(2N)-01/LH244,MO17_PHW30-008-(2N)-01,LH244,FALSE,TRUE,TRUE
MO17_PHW30-200-(2N)-02/LH244,MO17_PHW30-200-(2N)-02,LH244,FALSE,TRUE,TRUE
MO17_PHW30-309-(2N)-01/LH244,MO17_PHW30-309-(2N)-01,LH244,FALSE,TRUE,TRUE
MO44/LH195,MO44,LH195,TRUE,FALSE,TRUE
MO44/LH244,MO44,LH244,FALSE,TRUE,TRUE
MO44/PHT69,MO44,PHT69,TRUE,FALSE,TRUE
MO44_LH145_0047/CG102,MO44_LH145_0047,CG102,TRUE,FALSE,TRUE
MO44_LH145_0081/PB80,MO44_LH145_0081,PB80,TRUE,FALSE,TRUE
MO44_LH145_0107/PB80,MO44_LH145_0107,PB80,TRUE,FALSE,TRUE
MO44_LH145_0127/CG102,MO44_LH145_0127,CG102,TRUE,FALSE,TRUE
MO44_LH145_0127/LH185,MO44_LH145_0127,LH185,TRUE,FALSE,TRUE
MO44_LH145_0127/LH195,MO44_LH145_0127,LH195,TRUE,FALSE,TRUE
MO44_LH145_0127/LH198,MO44_LH145_0127,LH198,TRUE,FALSE,TRUE
MO44_LH145_0127/LH244,MO44_LH145_0127,LH244,FALSE,TRUE,TRUE
MO44_LH145_0127/PHB47,MO44_LH145_0127,PHB47,TRUE,FALSE,TRUE
MO44_LH145_0138/CG102,MO44_LH145_0138,CG102,TRUE,FALSE,TRUE
MO44_LH145_0138/LH185,MO44_LH145_0138,LH185,TRUE,FALSE,TRUE
MO44_LH145_0138/LH195,MO44_LH145_0138,LH195,TRUE,FALSE,TRUE
MO44_LH145_0138/LH198,MO44_LH145_0138,LH198,TRUE,FALSE,TRUE
MO44_LH145_0138/LH244,MO44_LH145_0138,LH244,FALSE,TRUE,TRUE
MO44_LH145_0138/PHB47,MO44_LH145_0138,PHB47,TRUE,FALSE,TRUE
MO44_LH145_0143/LH195,MO44_LH145_0143,LH195,TRUE,FALSE,TRUE
MO44_LH145_0143/LH198,MO44_LH145_0143,LH198,TRUE,FALSE,TRUE
MO44_PHG47_0072/CG102,MO44_PHG47_0072,CG102,TRUE,FALSE,TRUE
MO44_PHG47_0072/LH185,MO44_PHG47_0072,LH185,TRUE,FALSE,TRUE
MO44_PHG47_0072/LH198,MO44_PHG47_0072,LH198,TRUE,FALSE,TRUE
MO44_PHG47_0072/LH244,MO44_PHG47_0072,LH244,FALSE,TRUE,TRUE
MO44_PHG47_0072/PHB47,MO44_PHG47_0072,PHB47,TRUE,FALSE,TRUE
MO44_PHG47_0125/CG102,MO44_PHG47_0125,CG102,TRUE,FALSE,TRUE
MO44_PHG47_0125/LH198,MO44_PHG47_0125,LH198,TRUE,FALSE,TRUE
MO44_PHG47_0125/LH244,MO44_PHG47_0125,LH244,FALSE,TRUE,TRUE
MO44_PHW65_0001/LH195,MO44_PHW65_0001,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0001/PHT69,MO44_PHW65_0001,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0009/LH195,MO44_PHW65_0009,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0009/PHT69,MO44_PHW65_0009,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0010/PHT69,MO44_PHW65_0010,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0011/LH195,MO44_PHW65_0011,LH195,TRUE,FALSE,FALSE
MO44_PHW65_0011/PHT69,MO44_PHW65_0011,PHT69,TRUE,FALSE,FALSE
MO44_PHW65_0012/LH195,MO44_PHW65_0012,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0012/PHT69,MO44_PHW65_0012,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0015/LH195,MO44_PHW65_0015,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0015/PHT69,MO44_PHW65_0015,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0017/LH195,MO44_PHW65_0017,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0017/PHT69,MO44_PHW65_0017,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0020/LH195,MO44_PHW65_0020,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0020/PHT69,MO44_PHW65_0020,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0023/LH195,MO44_PHW65_0023,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0023/PHT69,MO44_PHW65_0023,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0024/LH195,MO44_PHW65_0024,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0024/PHT69,MO44_PHW65_0024,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0025/CG102,MO44_PHW65_0025,CG102,TRUE,FALSE,TRUE
MO44_PHW65_0025/LH185,MO44_PHW65_0025,LH185,TRUE,FALSE,TRUE
MO44_PHW65_0025/LH195,MO44_PHW65_0025,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0025/LH198,MO44_PHW65_0025,LH198,TRUE,FALSE,TRUE
MO44_PHW65_0025/LH244,MO44_PHW65_0025,LH244,FALSE,TRUE,TRUE
MO44_PHW65_0025/PHT69,MO44_PHW65_0025,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0027/LH195,MO44_PHW65_0027,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0027/PHT69,MO44_PHW65_0027,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0029/LH195,MO44_PHW65_0029,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0029/PHT69,MO44_PHW65_0029,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0031/LH195,MO44_PHW65_0031,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0031/PHT69,MO44_PHW65_0031,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0033/LH195,MO44_PHW65_0033,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0033/PHT69,MO44_PHW65_0033,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0034/LH195,MO44_PHW65_0034,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0034/PHT69,MO44_PHW65_0034,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0035/CG102,MO44_PHW65_0035,CG102,TRUE,FALSE,TRUE
MO44_PHW65_0035/LH185,MO44_PHW65_0035,LH185,TRUE,FALSE,TRUE
MO44_PHW65_0035/LH195,MO44_PHW65_0035,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0035/LH198,MO44_PHW65_0035,LH198,TRUE,FALSE,TRUE
MO44_PHW65_0035/LH244,MO44_PHW65_0035,LH244,FALSE,TRUE,TRUE
MO44_PHW65_0035/PHT69,MO44_PHW65_0035,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0036/LH195,MO44_PHW65_0036,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0036/PHT69,MO44_PHW65_0036,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0037/LH195,MO44_PHW65_0037,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0037/PHT69,MO44_PHW65_0037,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0042/LH195,MO44_PHW65_0042,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0042/PHT69,MO44_PHW65_0042,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0048/LH195,MO44_PHW65_0048,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0048/PHT69,MO44_PHW65_0048,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0050/LH195,MO44_PHW65_0050,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0050/PHT69,MO44_PHW65_0050,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0052/LH195,MO44_PHW65_0052,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0052/PHT69,MO44_PHW65_0052,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0056/LH195,MO44_PHW65_0056,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0056/PHT69,MO44_PHW65_0056,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0060/LH195,MO44_PHW65_0060,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0060/PHT69,MO44_PHW65_0060,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0063/LH195,MO44_PHW65_0063,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0063/PHT69,MO44_PHW65_0063,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0067/LH195,MO44_PHW65_0067,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0067/PHT69,MO44_PHW65_0067,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0068/LH195,MO44_PHW65_0068,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0068/PHT69,MO44_PHW65_0068,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0069/LH195,MO44_PHW65_0069,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0069/PHT69,MO44_PHW65_0069,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0073/LH195,MO44_PHW65_0073,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0073/PHT69,MO44_PHW65_0073,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0074/LH195,MO44_PHW65_0074,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0074/PHT69,MO44_PHW65_0074,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0075/CG102,MO44_PHW65_0075,CG102,TRUE,FALSE,TRUE
MO44_PHW65_0075/LH198,MO44_PHW65_0075,LH198,TRUE,FALSE,TRUE
MO44_PHW65_0080/LH195,MO44_PHW65_0080,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0080/PHT69,MO44_PHW65_0080,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0083/LH195,MO44_PHW65_0083,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0083/PHT69,MO44_PHW65_0083,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0084/LH195,MO44_PHW65_0084,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0084/PHT69,MO44_PHW65_0084,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0092/LH195,MO44_PHW65_0092,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0092/PHT69,MO44_PHW65_0092,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0093/LH195,MO44_PHW65_0093,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0093/PHT69,MO44_PHW65_0093,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0098/LH195,MO44_PHW65_0098,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0098/PHT69,MO44_PHW65_0098,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0099/LH195,MO44_PHW65_0099,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0099/PHT69,MO44_PHW65_0099,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0102/LH195,MO44_PHW65_0102,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0103/LH195,MO44_PHW65_0103,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0103/PHT69,MO44_PHW65_0103,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0104/LH195,MO44_PHW65_0104,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0104/PHT69,MO44_PHW65_0104,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0105/LH195,MO44_PHW65_0105,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0105/PHT69,MO44_PHW65_0105,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0110/LH195,MO44_PHW65_0110,LH195,TRUE,FALSE,FALSE
MO44_PHW65_0110/PHT69,MO44_PHW65_0110,PHT69,TRUE,FALSE,FALSE
MO44_PHW65_0111/LH195,MO44_PHW65_0111,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0111/PHT69,MO44_PHW65_0111,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0113/LH195,MO44_PHW65_0113,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0113/PHT69,MO44_PHW65_0113,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0115/LH195,MO44_PHW65_0115,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0115/PHT69,MO44_PHW65_0115,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0116/LH195,MO44_PHW65_0116,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0116/PHT69,MO44_PHW65_0116,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0118/LH195,MO44_PHW65_0118,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0118/PHT69,MO44_PHW65_0118,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0120/LH195,MO44_PHW65_0120,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0120/PHT69,MO44_PHW65_0120,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0121/LH195,MO44_PHW65_0121,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0121/PHT69,MO44_PHW65_0121,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0126/CG102,MO44_PHW65_0126,CG102,TRUE,FALSE,TRUE
MO44_PHW65_0126/LH185,MO44_PHW65_0126,LH185,TRUE,FALSE,TRUE
MO44_PHW65_0126/LH198,MO44_PHW65_0126,LH198,TRUE,FALSE,TRUE
MO44_PHW65_0128/LH195,MO44_PHW65_0128,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0128/PHT69,MO44_PHW65_0128,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0134/LH195,MO44_PHW65_0134,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0134/PHT69,MO44_PHW65_0134,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0135/LH195,MO44_PHW65_0135,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0135/PHT69,MO44_PHW65_0135,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0136/LH195,MO44_PHW65_0136,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0136/PHT69,MO44_PHW65_0136,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0139/LH195,MO44_PHW65_0139,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0139/PHT69,MO44_PHW65_0139,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0140/LH195,MO44_PHW65_0140,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0140/PHT69,MO44_PHW65_0140,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0144/LH195,MO44_PHW65_0144,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0144/PHT69,MO44_PHW65_0144,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0145/LH195,MO44_PHW65_0145,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0145/PHT69,MO44_PHW65_0145,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0147/LH195,MO44_PHW65_0147,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0147/PHT69,MO44_PHW65_0147,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0150/LH195,MO44_PHW65_0150,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0150/PHT69,MO44_PHW65_0150,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0151/LH195,MO44_PHW65_0151,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0151/PHT69,MO44_PHW65_0151,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0154/LH195,MO44_PHW65_0154,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0154/PHT69,MO44_PHW65_0154,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0155/LH195,MO44_PHW65_0155,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0155/PHT69,MO44_PHW65_0155,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0157/LH195,MO44_PHW65_0157,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0157/PHT69,MO44_PHW65_0157,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0159/LH195,MO44_PHW65_0159,LH195,TRUE,FALSE,TRUE
MO44_PHW65_0159/PHT69,MO44_PHW65_0159,PHT69,TRUE,FALSE,TRUE
MO44_PHW65_0160/LH195,MO44_PHW65_0160,LH195,TRUE,FALSE,TRUE
