"Year","Env","Experiment_Code","Treatment","City","Farm","Field","Trial_ID (Assigned by collaborator for internal reference)","Soil_Taxonomic_ID and horizon description, if known","Weather_Station_Serial_Number (Last four digits, e.g. m2700s#####)","Weather_Station_Latitude (in decimal numbers NOT DMS)","Weather_Station_Longitude (in decimal numbers NOT DMS)","Date_weather_station_placed","Date_weather_station_removed","Previous_Crop","Pre-plant_tillage_method(s)","In-season_tillage_method(s)","Type_of_planter (fluted cone; belt cone; air planter)","System_Determining_Moisture","Pounds_Needed_Soil_Moisture","Latitude_of_Field_Corner_#1 (lower left)","Longitude_of_Field_Corner_#1 (lower left)","Latitude_of_Field_Corner_#2 (lower right)","Longitude_of_Field_Corner_#2 (lower right)","Latitude_of_Field_Corner_#3 (upper right)","Longitude_of_Field_Corner_#3 (upper right)","Latitude_of_Field_Corner_#4 (upper left)","Longitude_of_Field_Corner_#4 (upper left)","Cardinal_Heading_Pass_1","Issue/comment_#1","Issue/comment_#2","Issue/comment_#3","Issue/comment_#4","Issue/comment_#5","Issue/comment_#6","Comments"
"2016","INH1_2016","INH1",,"West Lafayette","Purdue ACRE","54 North",,,"8657",40.47925,-86.990125,"5/20/16","10/12/16","soybean","Field cultivate",,"air planter","Harvestmaster","10",40.478351,-86.990135,40.478351,-86.989505,40.479168,-86.989505,40.479168,-86.990135,0,"At planting, a row unit plugged up with a clod. Effected entire length of field row 64. (Plots in pass 63)","July 14. Noticed that Moisture sensor wire was damaged. Ordered replacement and installed about July 20.",,,,,
"2017","INH1_2017","INH1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2018","INH1_2018","INH1","Standard","West Lafayette","Purdue ACRE","54NN","GxE","RcA-Raub-Brenton Complex","8657",40.479279,-86.990142,"5/9/18","9/19/18","soybean","chisel, field cultivate",,"air planter","Harvestmaster Classic Grain Guage","5",40.478359,-86.990129,40.478359,-86.9895,40.479206,-86.9895,40.479206,-86.990129,0,,,,,,,
"2019","INH1_2019","INH1","Standard","West Lafayette","Purdue ACRE","42","INH1","Raub-Brenton complex","8657",40.477486,-86.99984,"6/6/19","10/28/19","soybean","Chisel - field cultivator",,"air planter","Harvestmaster","5",40.476661,-87.000529,40.476655,-86.999886,40.477463,-86.999886,40.477473,-87.000506,0,"Bulk Density sensor started actigng up during harvest and started reading very high. Tried trouble shooting and but could not correct it.",,,,,,
"2020","INH1_2020","INH1","Standard","West Lafayette","Purdue ACRE","54N","G2F","Raub-Brenton complex","8657",40.479273,-86.989045,"5/14/20","10/15/20","soybean",,"cultivate","air planter","Harvestmaster","5",40.478355,-86.990133,40.478355,-86.989066,40.479238,-86.989066,40.479238,-86.990133,0,,,,,,,
"2021","INH1_2021","INH1","Standard","West Lafayette","Purdue ACRE","42","GxE","Chalmers Silty Clay Loam","8657",40.476553,-86.99722,"5/25/21","10/21/21","soybean","Fall rip one pass tool, spring field cultivate","None","air planter","Harvest master HM800","5",40.476658,-86.998063,40.476657,-86.99727,40.477468,-86.997263,40.477465,-86.998065,0,,,,,,,
"2015","KSH1_2015","KSH1",,"Manhattan",,,,,"1504",39.216975,-96.605733,"5/1/15","11/25/15","sorghum",,,"belt cone",,,39.215864,-96.605189,39.215895,-96.604255,39.21698,-96.604478,39.216932,-96.605367,,,,,,,,
"2016","KSH1_2016","KSH1","Standard","Manhattan","Ashland Bottoms","500 plots",,,"10795",39.144306,-96.629461,"5/18/16","11/17/16","wheat","Field cultivated",,"belt cone","Harvest Master","2.5 lbs.",39.14409,-96.629383,39.144078,-96.628573,39.145527,-96.628603,39.145532,-96.62937,0,,,,,,,
"2018","KSH1_2018","KSH1","Drought","Garden City",,,"KSUSL2018","Silt loam","9081",37.809834,-100.770272,"4/25/18","11/2/18","sorghum","conventional","conventional","sres packing planter","Harvestmaster H2 Grain guage","4",37.810416,-100.775703,37.809798,-100.775703,37.809798,-100.774673,37.810416,-100.774673,90,"High winds in 4 different storms throughout the growing season caused high amount of root lodging","Abnormal amounts of rainfall caused little visual difference between irrigation/drought replicates","a short in the Weather station's board caused loss of the first few weeks of data on the full station","July 28th was the storm that caused most of the lodging","Upon breaking down the station, there were tons of flies under the rain bucket around the sensors for rain, humidity, etc. They literally poured out of the humidity sensor. Could have been the cause of some weather data anomolies",,
"2016","MIH1_2016","MIH1","Standard","East Lansing","University Farms","Powrline Dr",,,"9078",42.689878,-84.497939,"6/20/16","11/16/16","soybean","Chisel Plow","Field Cultivator","air planter","Harvest Master","2",42.411797,-84.295393,42.411798,-84.295191,42.412337,-84.295137,42.412335,-84.295329,,"Drought","Poor Stands - In low areas",,,,,
"2017","MIH1_2017","MIH1","Standard","East Lansing","MSU","W90",,"capac loam","9078",42.681924,-84.494308,"5/22/17","10/18/17","corn","chisel plow",,"air planter","Harvest Master","5",42.681899,-84.494063,42.681934,-84.494618,42.680423,-84.494593,42.680407,-84.494091,180,,,,,,,
"2018","MIH1_2018","MIH1","Standard","East Lansing","MSU Agronomy Farm",,"MIH118",,"9078",42.688469,-84.497319,"5/29/18","11/16/18","soybean","Chisel plow followed by  cultivator",,"vacuum precision planter","Harvest Master Hi Capacity Grain Gauge HM800","6",42.68848,-84.497841,42.68848,-84.497277,42.689988,-84.497273,42.689988,-84.497832,180,"Had some sporadic raccoon damage; usually didn't affect more than a couple plants per plot","1 row of Plot 2203 and 1 row of plot 2204 were ran over by a sprayer on 6/19/18",,,,,
"2019","MIH1_2019","MIH1","Standard","East Lansing","MSU Agronomy Farm",,"MIH119",,"9078",42.707603,-84.46977,"5/28/19","11/17/19","corn","Chisel plow followed by cultivator",,"vacuum precision planter","Harvest Master Hi Capacity Grain Gauge HM800","6",42.707672,-84.471602,42.707675,-84.469732,42.70811,-84.469732,42.708108,-84.4716,90,"Had some sporadic animal damage; usually didn't affect more than a couple plants per plot","07-19-2019 & 07-20-2019 had very high winds, so collected green snap data on 7/24/19",,,,,
"2020","MIH1_2020","MIH1","Standard","East Lansing","MSU Agronomy","C7","M1H120",,"9078",42.708228,-84.46955,"5/26/20","10/28/20","soybean","Chisel plow followed by cultivator","none","vacuum precision planter","Harvest Master Hi Capacity Grain Gauge HM800","6",42.708226,-84.46955,42.70894,-84.469548,42.708929,-84.471627,42.708215,-84.471605,270,"Listed 2 stand counts. Initial stand count is from 6/15/2020 and includes all plants that germinted; Final stand count is from 10/26/2020 and is the initial stand count minus plants removed for sampling purposes",,,,,,
"2021","MIH1_2021","MIH1","Standard","East Lansing","MSU Agronomy Farm","C9",,,"9078",42.707406,-84.469747,"5/4/21","10/19/21","soybean","Chisel plow followed by cultivator","None","air planter","Harvest Master Hi Capacity Grain Gauge HM800","6",42.707408,-84.469519,42.708094,-84.469522,42.708092,-84.471655,42.70741,-84.471653,270,"We were in a bit of a drought at planting time, which resulted in uneven germination (some seeds germinated right away and some waited until after the next rain to germiante)",,,,,,
"2014","MNH1_2014","MNH1",,"Waseca","Southern Research & Outreach Center",,,,"8650",44.06971707,-93.53409096,,,"soybean","Fall chisel plow and spring field cultivate",,"fluted cone",,,,,,,,,,,,,,,,,,
"2015","MNH1_2015","MNH1",,"Waseca",,,,,"8650",44.070847,-93.535534,"5/21/15","10/30/15","soybean","Fall chisel plow and spring field cultivate",,"fluted cone","HM800 High capacity grain gauge","Unknown, currently getting in contact with manufacturer, technician estimated about 5 lbs of grain to get moisture reading",44.070989,-93.534855,44.070989,-93.535546,44.069784,-93.535548,44.069781,-93.534836,180,,,,,,,
"2016","MNH1_2016","MNH1","Standard","Waseca","Southern Research and Outreach Center",,"HGXE16","	Nicollet clay loam","8649",44.066804,-93.533063,"5/18/16","10/21/16","soybean","Fall chisel plow and spring field cultivate","None","fluted cone","HM800 High capacity grain gauge","Unknown",44.06616,-93.534178,44.066173,-93.533118,44.066786,-93.533113,44.066758,-93.534183,0,"Field was harvested before plant traits (Plant Height, Ear Height, Stand Count, Root Lodging, Stalk Lodging) could be measured, lodging not reported as an issue in any plots by technician who harvested trial","Weather station not turned off after removal from field (10-21-16, 9:45am), lots of data from storage building at the end of unmodified weather data files.",,,,,
"2017","MNH1_2017","MNH1","Standard","Waseca","Southern Research and Outreach Center",,"HGXE17",,"8650",,,"5/15/17","10/18/17","soybean","2 passes with a field cultivator",,"fluted cone","Harvestmaster Grain Gage system mounted on the combine","5",,,,,,,,,,"Northwest portion of field was underwater for part of the early growing season, affecting phenotypic data.","Yeild in font of field much lower than the back of the field due to water pooling early in the season.","Stand counts were taken after harvest and before tilling. Some plots were impossible to count, therefor no data are provided.","Combine does not measure accurate test weight and as such this trait was not collected",,,
"2018","MNH1_2018","MNH1","Standard","Waseca","Southern Research and Outreach Center",,"MNH1",,"8650",44.077,-93.5084,"6/5/18","11/15/18","soybean","field cultivate (twice)",,"fluted cone","Grain guage system","5",44.06980718,-93.53380207,44.07007268,-93.53600028,44.07088668,-93.53609151,44.0710223,-93.53387123,180,"Weather station soil moisture sensor was faulty throughout the growing season. This data should be disregaurded.","Extreme weather event resulted in significant lodging throughout the field. Large sections of the trial were nearly wiped out, with only a few plants left standing. This resulted in difficulty when recording stand cound and stalk vs. root lodging.Ê",,,,,
"2019","MNH1_2019","MNH1","Standard","Waseca","Southern Research and Outreach Center","Field 18","MNH1","Webster Clay Loam","8650",44.06684388,-93.52391105,"6/11/19","10/18/19","soybean","field cultivate ",,"air planter","Grain gauge","10",44.066148,-93.523748,44.066736,-93.523693,44.06668748,-93.52631252,44.06607532,-93.5262653,,,,,,,,
"2020","MNH1_2020","MNH1","Standard","Waseca","Southern Research and Outreach Center",,"MNH1",,"8650",44.070629,-93.526527,,,"soybean","cultivate 2x",,"air planter","grain gauge","10",44.06857957,-93.53302313,44.068601,-93.532235,44.069564,-93.532232,44.069569,-93.533031,0,"Weather station quit working at start of season. supllemental weather data is included in the weather folder.",,,,,,
"2021","MNH1_2021","MNH1","Standard","Waseca","Southern Research and Outreach Center",,"MNH1",,"8650",44.070646,-93.526485,"6/4/21","10/25/21","soybean","cultivate 2x",,"air planter","Grain gauge","10",44.070958,-93.533411,44.070968,-93.53482,44.069797,-93.534793,44.069794,-93.533433,,"In field weather station did not log any data that could be extracted. We will be using our other station next year to avoid this issue. I've included weather data from the farm weather station located nearby. It logs hourly and is accurate.",,,,,,
"2014","MOH1_2014","MOH1",,"Columbia","Bradford","C1a",,,"8645",38.898702,-92.20997,,,"soybean","chisel plow in fall; field cultivated in spring",,"air planter",,,,,,,,,,,,,,,,,,
"2015","MOH1_2015","MOH1",,"Columbia",,,,,"8645",38.896247,-92.208164,"5/4/15","10/4/15","soybean","fall chisel plow, spring field cultivator",,"air planter","Almaco SeedSpecter","5",38.89608333,-92.20833333,38.89606667,-92.2077,38.897,-92.20768333,38.897,-92.2083,0,,,,,,,
"2016","MOH1_2016","MOH1","Standard","Columbia","Bradford","C5b","G2F - GxE","5058  Mexico Silt Loam, 0-2% slopes","8645",38.89592,-92.20742,"5/24/16","10/4/16","soybean","fall chisel plow, spring field cultivator","none","air planter","Almaco SeedSpecter","2",38.89497,-92.20754,38.89498,-92.2069,38.89613,-92.20687,38.89611,-92.2075,0,,,,,,,
"2017","MOH1_2017","MOH1","Standard","Columbia","Bradford","H3A","G2F GxE","5058 Mexico Silt Loam, 0-2% slopes","8645",38.89244,-92.20665,"5/15/17","10/19/17","soybean","fall chisel plow, spring field cultivator",,"air planter","seed spector","4",38.89238,-92.20483,38.89288,-92.20503,38.89289,-92.20658,38.89241,-92.20657,270,,,,,,,
"2019","MOH1_2019","MOH1","Standard","Columbia","Bradford","C3B","G2F","Mexico Silt Loam, 1-4 percent slopes, eroded","8645",38.89492,-92.20878,"5/16/19","10/7/19","soybean","fall chisel plow, spring field cultivator",,"air planter","seed spector",,38.89504,-92.20918,38.89496,-92.20854,38.89622,-92.20847,38.89623,-92.20913,0,"Germination was low for most ""yellow stripe hybrids"" and patchy in rep 2","rep 1 thinned to 60 plants per plot; rep 2 thinned to 40 plants per plot"," https://soilseries.sc.egov.usda.gov/OSD_Docs/M/MEXICO.html",,,,
"2020","MOH1_1_2020","MOH1","Standard","Columbia","Bradford","C5A","G2F","Mexico Silt Loam, 1-4 percent slopes, eroded. https://soilseries.sc.egov.usda.gov/OSD_Docs/M/MEXICO.html","8645",38.89722,-92.20743,"6/3/20","10/19/20","soybean","spring field cultivator","none","air planter","seed spector","5",38.89847,-92.20674,38.89845,-92.20743,38.89722,-92.20743,38.89721,-92.20677,180,"received 4.5"" of rain within a of planting; low spots had standing water and low germination; plots discarded accordingly.","stands thinned to 50 plant for standard 2-row plots; HIPS thinned to 100 plants (4-row plots)","Weather station batteries died about a month before combining.  last check one month prior had good battery life.","Addicional weather source available online: http://agebb.missouri.edu/weather/history/index.asp?station_prefix=bfd",,,"Results referent to Replicatation 1"
"2020","MOH1_2_2020","MOH1","Standard","Columbia","Bradford","C5B","G2F","Mexico Silt Loam, 1-4 percent slopes, eroded. https://soilseries.sc.egov.usda.gov/OSD_Docs/M/MEXICO.html","8645",38.89722,-92.20743,"6/3/20","10/19/20","soybean","spring field cultivator","none","air planter","seed spector","5",38.89505,-92.20753,38.89505,-92.20681,38.8966,-92.20681,38.89661,-92.20748,0,"received 4.5"" of rain within a of planting; low spots had standing water and low germination; plots discarded accordingly.","stands thinned to 50 plant for standard 2-row plots; HIPS thinned to 100 plants (4-row plots)","Weather station batteries died about a month before combining.  last check one month prior had good battery life.","Addicional weather source available online: http://agebb.missouri.edu/weather/history/index.asp?station_prefix=bfd",,,"Results referent to Replicatation 2, HIP_Hybrid and YELLOW_STRIPE"
"2018","MOH1_1_2018","MOH1- rep 1","Standard","Columbia","Bradford",,"C2A","5058/5059ÊMexico Silt Loam","8645",38.897217,-92.20935,"5/17/18","9/25/18","soybean","field cultivator",,"air planter","seed spector",,38.898517,-92.209183,38.898533,-92.209817,38.897317,-92.20985,38.8973,-92.209233,180,,,,,,,"Results referent to Replicatation 1"
"2018","MOH1_2_2018","MOH1- rep 2","Standard","Columbia","Bradford",,"C2B","5059 Mexico Silt Loam","8645",38.897217,-92.20935,"5/17/18","9/25/18","soybean","field cultivator",,"air planter","seed spector",,38.894933,-92.209983,38.89495,-92.20935,38.896167,-92.209317,38.896167,-92.209933,0,,,,,,,"Results referent to Replicatation 2"
"2014","MOH2_2014","MOH2",,"Columbia","Rollins=Hinkson Creek Bottoms","block 5",,,"8646",38.928745,-92.352163,,,"soybean","Disc in previous fall",,"air planter",,,,,,,,,,,,,,,,,,
"2015","MOH2_2015","MOH2",,"Columbia",,,,,"8645",38.896247,-92.208164,"5/4/15","10/4/15","soybean","fall chisel plow, spring field cultivator",,"air planter","Almaco SeedSpecter","5",38.89853333,-92.20758333,38.89855,-92.20821667,38.89763333,-92.20821667,38.8976,-92.20758333,180,,,,,,,
"2014","NCH1_2014","NCH1",,"Kinston","Cunningham Research Farm","L block 5",,,"8659",35.29921111,-77.57159444,,,"wheat/double crop soybean","In the Spring the land was cut with a disk, then ripped with a chisel plow to a depth of 8-10”. It was then cut again and we applied 300#/acre of 10-0-30-12%S. Next we used a field cultivator with rolling baskets to incorporate the fertilizer. The land was bedded just prior to planting.",,"belt cone",,,,,,,,,,,,,,,,,,
"2015","NCH1_2015","NCH1",,"Kinston",,,,,"8658",35.29597778,-77.56711667,"4/28/15","9/16/15","wheat/double crop soybean","disc, conventional, followed by bedding",,"fluted cone","HarvestMaster moisture blade","3",35.29597778,-77.56711667,35.29563611,-77.56622222,35.29751667,-77.56669722,35.29717778,-77.56581389,,,,,,,,
"2016","NCH1_2016","NCH1","Standard","Kinston","Cunningham Research Farm","Field L Block 3","EXP 7","Lynchburg sandy loam, 0 to 2 percent slopes, Ap - 0 to 8 inches: sandy loam","8659",35.29922,-77.570362,"4/15/16","10/28/16","wheat and Double Crop soybean","Conventional Tillage","None","fluted cone",,,35.30049,-77.570669,35.300674,-77.570914,35.299812,-77.571884,35.299631,-77.571646,140,,,,,,,
"2017","NCH1_2017","NCH1","Standard","Kinston","Cunningham Research Farm","N- non irrigated","EXP 7","Pantego loam","8659",35.29607,-77.567255,"5/3/17","9/22/17","Small Grains and Double Crop soybean","Two passes with disk, one pass with field conditioner, 30Ó beds were made with 8 row ripper-bedder for corn",,"fluted cone",,,35.296066,-77.567222,35.297308,-77.566745,35.297251,-77.566404,35.295924,-77.566855,22,,,,,,,
"2018","NCH1_2018","NCH1","Standard","Clayton","Central Crops Research Station","C7A","7",,"8659",35.666544,-78.492166,"4/4/18","10/21/18",,,,"fluted cone","HarvestMaster","4",35.666642,-78.493005,35.666458,-78.491897,35.666916,-78.491731,35.667114,-78.492855,5,,,,,,,
"2019","NCH1_2019","NCH1","Standard","Clayton","Central Crops Research Station","F3","7",,"8659",35.668804,-78.51129,"5/13/19","10/7/19","soybean","disk","harrow cultivation","fluted cone","Juniper System","6",35.669668,-78.510089,35.670479,-78.510031,35.670533,-78.510936,35.669727,-78.51096,275,"Heavy rainfall interrupted planting, all plots planted immediately after rainfall had very poor germination and were dropped.","Somehow we lost early season weather station data. Data available to upload runs July 11 to end of October",,,,,
"2020","NCH1_2020","NCH1","Standard","Kinston","Cunningham Research Farm","L","7","Lynchburg sandy loam, 0 to 2 percent slopes:            Ap - 0 to 8 inches: sandy loam E - 8 to 11 inches: sandy loam Bt - 11 to 21 inches: sandy clay loam Btg - 21 to 65 inches: sandy clay loam BCg - 65 to 85 inches: sandy clay loam                                                       AND                                                                          Rains sandy loam, 0 to 2 percent slopes: Ap - 0 to 8 inches: sandy loam
E - 8 to 11 inches: sandy loam
Bt - 11 to 21 inches: sandy clay loam
Btg - 21 to 65 inches: sandy clay loam
BCg - 65 to 85 inches: sandy clay loam","8659",35.299525,-77.569591,"4/23/20","9/4/20","wheat/soybean","Conventional tillage (disc) + ripped and bedded rows","none","fluted cone","Juniper","4.5",35.30019852,-77.57024056,35.30099095,-77.57129735,35.29998837,-77.57238632,35.29921782,-77.57134563,225,"Was able to score flowering on one day (June 25, 2020). Anything that was going to flower more than two days after that was left as NA. So at least these data might be useful for QC to pick out early things.","Aneometer was replaced on 6/2/2020",,,,,
"2021","NCH1_2021","NCH1","Standard","Lewiston","Peanut Belt Research Station","B2b","EXP7","GoAÑGoldsboro sandy loam, 0 to 3 percent slopes: Ap - 0 to 7 inches: fine sandy loam E - 7 to 13 inches: fine sandy loam Bt - 13 to 40 inches: sandy clay loam Btg - 40 to 80 inches: sandy clay loam NoAÑNorfolk sandy loam, 0 to 2 percent slopes:  Ap - 0 to 9 inches: sandy loam E - 9 to 15 inches: sandy loam Bt1 - 15 to 19 inches: sandy clay loam Bt2 - 19 to 100 inches: sandy clay loam","8659",36.12658689,-77.17781824,"4/22/21","9/24/21","peanut","conventional - Field Cultivator, disk","None","fluted cone","Mirus HarvestMaster H2 GrainGauge","4.68",36.12860022,-77.17707758,36.12796779,-77.1786883,36.12902905,-77.17781837,36.1275084,-77.17796625,213,"Excessive rain caused flooding and ponding.  Plants stunted",,,,,,
"2014","NEH1_2014","NEH1",,"Lincoln","East Campus","1807",,,"8654",40.834392,-96.656687,,,"soybean","chisel",,"fluted cone",,,,,,,,,,,,,,,,,,
"2015","NEH1_2015","NEH1","Irrigated","Mead",,,,,"8654",41.159394,-96.414561,,,,,,,,,41.166356,-96.417261,41.66356,-96.416039,41.166978,-96.416081,41.167022,-96.417192,,,,,,,,
"2016","NEH1_2016","NEH1","Standard","Mead",,,,,,,,,,"corn",,,"air planter",,,,,,,,,,,,,,,,,,
"2019","NEH1_2019","NEH1","Standard","Lincoln",,,,,"10801",,,"6/13/19","10/28/19","soybean",,,"air planter","HarvestMaster","3",40.8604,-96.6159,,,,,,,90,,,,,,,
"2020","NEH1_2020","NEH1","Standard","Lincoln","Havelock","10--18","NEH1",,"3340",40.85194,-96.61667,"6/8/20","11/29/20","soybean/pumpkin","No-till","none","air planter","HarvestMaster","3",40.85194,-96.61667,,,,,40.85163,-96.61667,90,,,,,,,
"2021","NEH1_2021","NEH1","Standard","Lincoln ","Havelock","02_05",,,"10801",40.86125437,-96.59678971,,,"soybean","No-till","None","air planter","HarvestMaster","3",40.86124999,-96.59643669,40.86125437,-96.59678971,40.85945332,-96.59660676,40.85944952,-96.59697876,180,"NEH1 plot 503 had negivative plot weight and it was adjusted to 0 in the data",,,,,,
"2014","NEH2_2014","NEH2",,"North Platte","Dryland farm",,,,"8655",41.052978,-100.749467,,,"wheat","no-till",,"Almaco TP2",,,,,,,,,,,,,,,,,,
"2015","NEH2_2015","NEH2",,"North Platte",,,,,"8655",41.05136,-100.7463,"4/24/15","10/26/15","Winter wheat","No-Till",,"air planter","High Capacity Grain Gauge","4.5",41.050974,-100.746632,41.051263,-100.74626,41.051904,-100.747765,41.051657,-100.748109,290,,,,,,,
"2018","NEH2_2018","NEH2","Drought","Wahoo",,,"NEH2","silt/clay/loam","10801",,,,,"soybean","conventional",,"air planter",,,41.379819,-96.560109,41.379813,-96.559687,41.381029,-96.559657,41.38103,-96.560082,0,,,,,,,
"2019","NEH2_2019","NEH2","Standard","Lincoln",,,,,"18037",,,"7/5/19","10/28/19","soybean",,,"air planter","HarvestMaster","3",,,,,,,,,,,,,,,,
"2020","NEH2_2020","NEH2","Dry Land","North Platte",,,"NEH2",,"18037",,,,,"soybean",,,"air planter",,,,,,,,,,,,,,,,,,
"2021","NEH2_2021","NEH2","Dryland","North Platte","West Central","Dryland",,"Holdrege silt loam",,41.0537589,-100.7499881,"5/19/21",,"Winter wheat","None","None","air planter","HarvestMaster","4",41.0538996,-100.7493277,41.0537046,-100.7499114,41.0579104,-100.748393,41.0821305,-100.7479386,,,,,,,,
"2014","NEH3_2014","NEH3",,"Brule","North Dryland","West 1/4",,,"8656",41.16353,-101.99598,,,"wheat","no-till",,"Almaco TP2",,,,,,,,,,,,,,,,,,
"2015","NEH3_2015","NEH3",,"Brule",,,,,"8656",41.158431,-101.988324,"6/12/15",,"Winter wheat","No Till",,"air planter","High Capacity Grain Gauge","4.5",41.158406,-101.988317,41.158082,-101.98827,41.158084,-101.986298,41.158409,-101.986298,90,,,,,,,
"2017","NEH3_2017","NEH3","Standard","Mead",,,,,,,,,,"corn",,,"air planter",,,41.162,-96.409,41.162,-96.409,41.162,-96.409,41.162,-96.409,,,,,,,,
"2020","NEH3_2020","NEH3","Standard","North Platte",,,"NEH3",,,,,,,"soybean",,,"air planter",,,,,,,,,,,,"Irrigated",,,,,,
"2021","NEH3_2021","NEH3","Standard","North Platte","WCREC","WTL","Irrigated","Cozad Silt Loam",,41.0899229,-100.7799655,"5/19/21",,,"None","None","air planter","HarvestMaster","4",41.0899758,-100.7800172,41.0895275,-100.7799729,41.0895331,-100.77875,41.0899229,-100.77877,90,,,,,,,
"2015","NEH4_2015","NEH4",,"Mead",,,,,"8654",41.159394,-96.414561,,,,,,,,,41.167022,-96.417192,41.166978,-96.416081,41.167608,-96.416103,41.167683,-96.417153,,,,,,,,
"2016","NEH4_2016","NEH4","Standard","Mead",,,,,,,,,,"corn",,,"air planter",,,,,,,,,,,,,,,,,,
"2017","NEH4_2017","NEH4","Standard","Mead",,,,,,,,,,"corn",,,"air planter",,,41.162,-96.409,41.162,-96.409,41.162,-96.409,41.162,-96.409,,,,,,,,
"2014","NYH1_2014","NYH1",,"Aurora","Musgrave Research Farm","J",,,"9106",42.728765,-76.651654,,,"corn","Field J was fall moldboard plow;  Then disked this spring and field cultivated before planting.",,"air planter",,,,,,,,,,,,,,,,,,
"2015","NYH1_2015","NYH1","Disease trial","Aurora",,,,,"9106",,,,,,,,,,,,,,,,,,,,,,,,,,
"2016","NYH1_2016","NYH1","Disease trial","Aurora","Musgrave Research Farm","M3","NYH1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017","NYH1_2017","NYH1","Disease trial","Aurora","Musgrave Research Farm","J","17JG","Alfisol","12368",42.72856941,-76.65201913,"5/20/17","11/22/17","soybean","disk","disk","air planter","ALMACO Seed Spector 5","7",42.7286167,-76.6524,42.7286167,-76.65068333,42.7290167,-76.65071667,42.7289833,-76.65245,270,"05-18-2017. Seed of plot # 140 (rep 2) for the NYH1 experiment is missing. Border seed was planted in its place to fill this gap in the field. Refer to the fieldbook for details of the missig seed.","07-05-2017. Some plants were accidentally knocked down by the tractor tires when the field was side-dressed. This happened because the plants were too tall. Plants were recounted to account for this plot damage.","08-26-2017. Some plots were damaged by mammals (raccoons). Plants were recounted and yield data discarded if mammal damage was significant.","2017-12-08. We got new probes to measure soil temperature and soil moisture, but we didn't get any data from those measurements. We suspect there's an issue with the weather station. It would be helpful to check/fix it.",,,
"2018","NYH1_2018","NYH1","Standard","Aurora","Musgrave Research Farm","J","18DG","Lima silt loam","12368",42.729068,-76.651402,"6/5/18","12/11/18","soybean","Chisel plow",,"Almaco 4-row air planter","ALMACO Seed Spector 5","7",42.7292,-76.65245,42.7292667,-76.65076667,42.7295833,-76.65078333,42.7295667,-76.65246667,270,"06-05-2018. Disregard this date's rain data wrongly recorded by the weather station when cleaning the rain bucket.","09-14-2018. NLB symptoms from artificial inoculation with S. turcica were quickly taken over by naturally occuring Anthracnose ""top dieback"" symptoms. They resulted from stalk rot disease caused by the the fungal pathogen Colletotrichum graminicola. DLA scores for this spontaneous disease were recorded along with NLB-DLA.","12-02-2018. Some plots were lodged by mammals (raccoons). Stalk lodging counts were corrected for this damage. We are not sure if yield was greatly affected by raccoon-induced lodging since the combine sometimes can also harvest lodged plants. ","12-11-2018. Broken soil sensor and probable rodent damage (chewed cable) were noticed when pulling out the weather station.","12-11-2018. Our rain data (NYH1 experiment) is very different from the NYH2 experiment which was planted in the same farm. NYH1 rain data might not be accurate likely due to problems with the rain bucket (a spider was found  inside).",,
"2019","NYH1_2019","NYH1","Disease trial","Aurora","Musgrave Research Farm","J","19DG","Oxyaquic Hapludalfs","12368",42.728569,-76.65158,"6/12/19","12/12/19","soybean","Case IH 335 VT 4"" deep ",,"Almaco 4-row air planter","HarvestMaster Classic GrainGage with HM800 electronics and Mirus software. ","5",42.7286833,-76.65245,42.72875,-76.6506,42.72905,-76.65056667,42.7290667,-76.65246667,90,"06-03-2019. Due to issues with the soil conditions and weather, the trial was planted quite late compared to previous years. This may have had implications for the disease set and development.","06-03-2019. Planter issues resulted in some off plots (see field map).","06-12-2019. We had technical issues to calibrate the weather station to record precipitation data properly. We encourage to use the NYH2 precipitation data which, operated in the same farm in a nearby field.","09-20-2019. NLB symptoms from artificial inoculation with S. turcica were quickly taken over by naturally occuring Anthracnose ""top dieback"" symptoms. They resulted from stalk rot disease caused by the the fungal pathogen Colletotrichum graminicola. DLA scores for this spontaneous disease were recorded along with NLB-DLA.","12-12-2019. Some plot boundaries were not clearly defined due to issues with the planter. These plots are specified in the field book.","12-12-2019. When removing the weather station from the field, the PAR sensor was on the ground and the rain bucket was found cracked. Station only logged a couple of inches of rain throughout the season.",
"2014","NYH2_2014","NYH2",,"Aurora","Musgrave Research Farm","E4",,,,42.73,-76.65,,,"soybean","The field was minium tilled.  The field was disked then cultipacked then Cultimulched then planted",,"air planter",,,,,,,,,,,,,,,,,,
"2015","NYH2_2015","NYH2",,"Aurora",,,,,"9087",42.7328868,-76.6520083,"5/8/15","11/20/15","soybean","Chisel plowed 5/4/15 Disc and finishing tool 5/6/15 ",,"air planter","Seed Spector moisture meter on Almaco combine","Depend on moisture content of grain 15.5% moisture 5.84 lbs 30% moisture 7.05 lbs",42.732712,-76.653275,42.732194,-76.653243,42.73226,-76.65229,42.732764,-76.652303,180,,,,,,,
