"Year","Env","LabID","Date Received","Date Reported","E Depth","1:1 Soil pH","WDRF Buffer pH","1:1 S Salts mmho/cm","Texture No","Organic Matter LOI %","Nitrate-N ppm N","lbs N/A","Potassium ppm K","Sulfate-S ppm S","Calcium ppm Ca","Magnesium ppm Mg","Sodium ppm Na","CEC/Sum of Cations me/100g","%H Sat","%K Sat","%Ca Sat","%Mg Sat","%Na Sat","Mehlich P-III ppm P","% Sand","% Silt","% Clay","Texture","BpH","Zinc ppm Zn","Iron ppm Fe","Manganese ppm Mn","Copper ppm Cu","Boron ppm B","Comments"
"2019","WIH2_2019","Ward Laboratories Inc","8/1/19","8/5/19",12,"7.1",7.2,0.11,2,4.5,11.6,42,111,6.7,1906,541,13,"14.4",0,2,66,31,0,40,16,50,34,"Silty Clay Loam",,,,,,,
"2021","WIH2_2021","Ward Laboratories Inc","06/04/2021","06/08/2021",8,"6.8",7.2,0.27,2,4.5,30.5,73,152,10,2078,583,22,"15.7",0,2,66,31,1,64,16,53,31,"Silty Clay Loam",,,,,,,
"2021","WIH3_2021","Ward Laboratories Inc","06/04/2021","06/08/2021",8,"6.1",6.8,0.1,2,1,4.7,11,70,6.7,336,69,10,"5",50,4,33,12,1,74,86,9,5,"Loamy Sand",,,,,,,
"2015","WIH1_2015","UW Soil & Plant Analysis Lab",,"5/27/15",,"6.9",,,,3.4,,,142,,,,,,,,,,,43,,,,,,,,,,,
"2016","WIH1_2016","Ward Laboratories Inc","5/18/2016","5/20/2016",12,"7",7.2,0.23,2,3.1,9.1,33,130,15,1947,620,10,"15.3",0,2,64,34,0,49,19,54,27,"Silt Loam",,,,,,,
"2017","WIH1_2017","Ward Laboratories Inc","5/22/2017","5/24/2017",12,"7.1",7.2,0.22,2,4.3,39,140,326,3.8,1860,538,8,"14.7",0,6,63,31,0,132,17,47,36,"Silty Clay Loam",,,,,,,
"2018","WIH1_2018","Ward Laboratories Inc","9/10/2018","9/12/2018",12,"7.1",7.2,0.22,2,4.3,39,140,326,3.8,1860,538,8,"14.7",0,6,63,31,0,132,17,47,36,"Silty Clay Loam",,,,,,,
"2020","WIH1_2020","Ward Laboratories Inc","7/8/20","7/10/20",8,"5.9",6.5,0.15,2,4.2,19.9,48,198,7.2,1211,297,11,"14.3",36,4,42,17,0,50,26,47,27,"Loam",,,,,,,
"2015","WIH2_2015","UW Soil & Plant Analysis Lab",,"6/11/15",,"6.4",,,,3.1,,,200,,,,,,,,,,,82,,,,,6.6,,,,,,
"2016","WIH2_2016","Ward Laboratories Inc","5/27/2016","6/1/2016",12,"6.8",7.2,0.21,2,3.1,16.5,60,78,13,1544,542,26,"12.6",0,2,61,36,1,4,23,51,26,"Silt Loam",,,,,,,
"2017","WIH2_2017","Ward Laboratories Inc","5/22/2017","5/24/2017",12,"6.9",7.2,0.12,2,3.2,30.2,109,201,3.5,1734,548,10,"13.8",0,4,63,33,0,47,14,55,31,"Silty Clay Loam",,,,,,,
"2018","WIH2_2018","Ward Laboratories Inc","9/10/2018","9/12/2018",12,"6.9",7.2,0.12,2,3.2,30.2,109,201,3.5,1734,548,10,"13.8",0,4,63,33,0,47,14,55,31,"Silty Clay Loam",,,,,,,
"2020","WIH2_2020","Ward Laboratories Inc","7/8/20","7/10/20",8,"6.7",7.2,0.37,2,4.7,56.8,136,183,11.5,1483,467,10,"11.8",0,4,63,33,0,68,26,47,27,"Loam",,,,,,,
"2020","WIH3_2020","Ward Laboratories Inc","7/8/20","7/10/20",8,"5.3",6.5,0.1,2,1,14.5,35,72,11.6,302,78,7,"7.8",69,2,19,8,0,93,86,4,10,"Loamy Sand",,,,,,,
"2018","ONH1_2017","Ward Laboratories Inc","01/03/2018","01/08/2018",12,"7.7",7.2,0.18,2,2.7,12.8,46,98,10,2201,237,9,"13.3",0,2,83,15,0,95,34,43,23,"Loam",,,,,,,
"2017","GAH2_2017","Ward Laboratories Inc","06/12/2017","06/14/2017",12,"6.8",7.2,0.2,2,2.6,18.1,65,319,9.1,893,107,18,"6.2",0,13,71,14,1,85,46,21,33,"Sandy Clay Loam",,,,,,,
"2017","COH1_2017","Ward Laboratories Inc","5/19/2017","5/23/2017",12,"8.3",7.2,0.665,2,2.65,47.85,172.25,404,104.45,5549.75,783.25,137.75,"34.4",0,3,77.25,18,1.75,34,32.25,25.25,42.5,"Clay",,,,,,,
"2018","GAH2_2018","Ward Laboratories Inc","5/8/2018","5/10/2018",12,"7.1",7.05,0.175,2,2,13.8,50,100.5,9.25,993.5,147.5,16,"7.9",6,4,71,18,1,11,46.5,28,25.5,"Loam",,,,,,,
"2017","MIH1_2017","Ward Laboratories Inc","6/9/2017","6/13/2017",12,"6.6",7.2,0.34,2,2.7,48.9,176.5,117.5,21.25,1139.5,182.5,22.5,"7.7",0,4,75,20,1,22,61.5,19.5,19,"Sandy Loam",,,,,,,
"2015","MOH2_2015","UW Soil & Plant Analysis Lab",,"5/26/15",,"7.1",,,,1.8,,,93.5,,,,,,,,,,,38.5,,,,,,,,,,,
